yyyy,mm,yearmonth,SOI,NAO,EA,WP,EP_NP,PNA,EA_WR,SCA,TNH,POL,PT,expl_var,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
1953,10,195310,0.1,1.95,-0.43,0.36,-0.52,2.27,0,1.23,-99.9,-0.58,-99.9,50.1,1.59,58.4,-2.93,-2.93,-2.88,-2.93,21,221,-0.92,-1.01,-1.34,-1.54,-1.1,-0.56,0.04,44,72.8
1953,11,195311,-0.3,0.96,0.18,-0.44,-2.15,1.57,0.16,0.02,-99.9,-1.45,-99.9,78,1.46,45.3,-3.73,-3.73,-3.28,-3.73,0,581,-0.99,-1.39,-1.32,-2.18,-1.52,-1.27,-0.4,32,58.6
1953,12,195312,-0.5,-0.52,-1.05,0.84,-99.9,0.96,0.73,1.03,1.4,1.36,-99.9,70.3,3.56,38.4,-3.65,-3.65,-0.94,-3.65,0,808,0.33,-0.48,-1,-1.92,-1.65,-1.17,-0.42,27.9,48.8
1954,1,195401,0.7,-0.08,-2.49,-0.26,0.6,-2.11,0.52,0.77,-0.3,0.55,-99.9,56,4.4,36,-2.95,-2.95,0.97,-2.51,0,910,0.92,0.8,0.1,-0.97,-1.3,-0.98,-0.51,25.3,46.7
1954,2,195402,-0.3,0.4,-1.02,-0.67,-1.75,-0.48,0.03,1.63,-1.4,0.95,-99.9,69.6,1.68,41.8,-3.4,-3.4,-2.26,-3.4,0,647,-1.06,-0.02,0.16,-0.98,-1.65,-1.31,-0.67,29.6,54
1954,3,195403,0.3,-1.27,-0.46,0.66,1.51,-1.44,0.48,0.38,-99.9,2.58,-99.9,87.3,4.07,44.2,-2.88,-2.88,0.52,-2.61,0,637,0.31,-0.41,0.15,-0.64,-1.54,-1.36,-0.78,32.5,56
1954,4,195404,0.6,1.31,-2.77,-0.53,0.08,-2.86,-0.29,-0.54,-99.9,-1.44,-99.9,78.8,2.74,58.8,-3.1,-3.1,-1.56,-3.1,14,204,-0.48,-0.16,-0.68,-0.34,-1.15,-1.41,-1.01,45.8,71.7
1954,5,195405,0.5,-0.03,-0.79,1.39,0.2,0.65,-2.13,0.31,-99.9,-1.95,-99.9,71,4.35,59.6,-2.41,-2.41,1.12,-1.89,27,177,0.36,-0.03,0.07,0.1,-0.74,-1.38,-1.03,47.8,71.4
1954,6,195406,0.1,0.06,-0.69,-1.63,-1.64,0.09,0.58,0.2,-99.9,-1.06,-99.9,54,2.31,71.5,-2.79,-2.79,-1.88,-2.79,212,4,-1.41,-0.58,-0.77,-0.5,-0.98,-1.61,-1.09,58.5,84.4
1954,7,195407,0.4,-0.57,-0.3,-0.34,-1.79,-0.14,-1.5,0.52,-99.9,-1.37,-99.9,75.5,3.66,75.1,-2.99,-2.99,-1.48,-2.99,323,0,-0.66,-1.41,-0.81,-1.1,-0.86,-1.41,-1.12,62,88.2
1954,8,195408,1.1,-2.57,-0.57,1.89,0.83,-0.11,0.29,-0.45,-99.9,-0.19,-0.75,63.2,3.65,73.8,-3.09,-3.09,-1.21,-3.09,283,0,-0.2,-0.64,-1.17,-0.84,-0.65,-1.28,-1.57,62.4,85.2
1954,9,195409,0.2,-0.28,0.64,0.94,0.31,-0.04,-1.04,-0.95,-99.9,0.23,-1.26,58.4,1.48,70.2,-3.79,-3.79,-3.07,-3.79,184,15,-1.35,-1.11,-1.25,-1.36,-1.12,-1.48,-1.69,56,84.4
1954,10,195410,0.3,1.16,-0.62,-2.15,-0.53,0.99,0.34,-0.59,-99.9,-0.46,-99.9,67.4,4.88,58.7,-3.16,-3.16,0.74,-2.81,28,205,1.01,-0.04,-0.28,-0.72,-1.03,-0.89,-1.08,45.7,71.7
1954,11,195411,0.1,0.29,-0.27,-0.88,-0.48,1.38,-0.51,1.15,-99.9,0.79,-99.9,74.8,2.86,42.4,-2.91,-2.91,-0.23,-2.59,0,670,0.1,0.76,-0.06,-0.9,-0.74,-0.66,-1.32,32.3,52.5
1954,12,195412,1.4,0.55,-1.6,-1.42,-99.9,-0.82,-0.58,3.06,-1.18,3.08,-99.9,73.2,3.42,35,-2.35,-2.35,0.78,-1.68,0,924,0.22,0.17,0.72,-0.45,-0.71,-0.67,-1.36,25.4,44.5
1955,1,195501,-0.5,-2.65,-0.24,0.4,-1.32,-0.14,-0.79,-1.36,0.4,1.39,-99.9,68.7,1.24,33.1,-2.88,-2.88,-2.31,-2.88,0,987,-2.22,-0.94,-0.71,-0.76,-1.07,-1.27,-1.58,23.5,42.8
1955,2,195502,1.9,-1.71,0.03,-0.66,-1.71,-2.62,-1.69,-0.87,-0.09,-0.26,-99.9,71.3,3.78,37.2,0.35,-2.24,1.04,-1.75,0,786,0.68,-0.67,-0.38,-0.39,-1.05,-0.89,-1.51,25.3,49.2
1955,3,195503,0.6,-0.96,-1.37,0.51,-0.13,-2.47,0.25,-0.21,-99.9,-1.13,-99.9,70.8,5.21,47.4,0.84,-1.47,1.6,-0.28,4,549,1.05,1.1,0.18,0.62,-0.4,-0.63,-1.4,35.8,58.9
1955,4,195504,-0.1,-0.6,-1.52,1.18,-1.35,-0.24,-0.01,-0.14,-99.9,0.43,-99.9,53.2,3.4,57.7,-0.16,-1.48,-0.48,-0.48,10,230,0.11,0.79,0.95,0.22,-0.15,-0.52,-1.36,45.4,69.9
1955,5,195505,1,-0.26,0.51,-0.26,-1.61,-0.42,0.92,-1.27,-99.9,-0.09,-99.9,56.9,2.84,65.1,-0.69,-1.87,-1.64,-1.46,86,78,-0.78,-0.52,0.19,-0.15,-0.19,-0.83,-1.61,52.4,77.9
1955,6,195506,1.3,-0.8,-1.3,0.7,-2.84,0.11,1.43,0.22,-99.9,-1.36,-99.9,58.3,3.96,66.6,-0.29,-1.35,1,-0.53,104,36,0.09,-0.51,-0.42,-0.24,0.29,-0.57,-1.54,54.6,78.6
1955,7,195507,1.6,1.78,-1.52,1.72,-1.49,-1.32,0.55,1.81,-99.9,0.19,-99.9,60.7,4.13,77.6,-0.57,-1.52,-0.94,-1.01,416,0,-0.27,-0.13,-0.55,0.18,-0.22,-0.42,-1.42,66.8,88.4
